epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3464.17,1.0695,1.47883,1.264,0.73986,0.61945,0.72548,0.50789,1.07691,1.54841,1.33878,0.0671111,0.000332211,0.000332211
2,5424.59,1.08225,1.1533,1.25642,0.75716,0.60189,0.72593,0.5164,0.98409,1.57595,1.29172,0.0340979,0.000652367,0.000652367
3,7341.09,1.04821,1.03759,1.22458,0.85781,0.78958,0.85968,0.63548,0.95447,0.88766,1.2771,0.00107156,0.000959322,0.000959322
